state_abbr,state_fips,place_fips,stpl_fips,city_name,metric_name,group_name,metric_number,group_number,num,denom,est,lci,uci,county_indicator,educ_indicator,multiplier_indicator,data_yr_type,geo_level,Date of export to MySQL database,version,NOTE - NCHS Disclaimer
HI,15,3,15003,Honolulu,Absenteeism,total population,1,1,9625,59827,16.1,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,"The downloadable data tables shared on the City Health Dashboard website were not released as a micro-level downloadable datasets from NCHS/RDC, rather .csv aggregated data tables whose analyses were conducted per NCHS disclosure requirements in a secure environment and released as approved output. The findings and conclusions on this website are those of the author(s) and do not represent the views of the Research Data Center, the National Center for Health Statistics, or the Centers for Disease Control and Prevention. NCHS does not recommend further analysis of these tables because linking them to individually identifiable data from other NCHS or non-NCHS datasets could potentially cause disclosure. If you believe a disclosure has occurred please contact info@cityhealthdashboard.com and RDCA@cdc.gov."
AL,1,7000,107000,Birmingham,Absenteeism,total population,1,1,2250,10415,21.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AL,1,35896,135896,Hoover,Absenteeism,total population,1,1,1517,14571,10.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AL,1,37000,137000,Huntsville,Absenteeism,total population,1,1,2376,9369,25.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AL,1,50000,150000,Mobile,Absenteeism,total population,1,1,2826,15034,18.8,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AL,1,51000,151000,Montgomery,Absenteeism,total population,1,1,3520,24923,14.1,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AL,1,77256,177256,Tuscaloosa,Absenteeism,total population,1,1,1053,6329,16.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AK,2,3000,203000,Anchorage,Absenteeism,total population,1,1,8305,32243,25.8,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,4720,404720,Avondale,Absenteeism,total population,1,1,3281,16175,20.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,12000,412000,Chandler,Absenteeism,total population,1,1,5877,41062,14.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,27400,427400,Gilbert,Absenteeism,total population,1,1,5833,43933,13.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,27820,427820,Glendale,Absenteeism,total population,1,1,5476,36337,15.1,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,46000,446000,Mesa,Absenteeism,total population,1,1,10554,66681,15.8,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,54050,454050,Peoria,Absenteeism,total population,1,1,2101,19376,10.8,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,55000,455000,Phoenix,Absenteeism,total population,1,1,40344,217426,18.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,65000,465000,Scottsdale,Absenteeism,total population,1,1,3009,17411,17.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,71510,471510,Surprise,Absenteeism,total population,1,1,2311,13389,17.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,73000,473000,Tempe,Absenteeism,total population,1,1,3403,17930,19,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,77000,477000,Tucson,Absenteeism,total population,1,1,18626,63316,29.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AZ,4,85540,485540,Yuma,Absenteeism,total population,1,1,4061,23180,17.5,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AR,5,23290,523290,Fayetteville,Absenteeism,total population,1,1,945,9975,9.5,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AR,5,24550,524550,Fort Smith,Absenteeism,total population,1,1,1440,9081,15.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AR,5,35710,535710,Jonesboro,Absenteeism,total population,1,1,2136,11017,19.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AR,5,41000,541000,Little Rock,Absenteeism,total population,1,1,3521,19601,18,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
AR,5,66080,566080,Springdale,Absenteeism,total population,1,1,839,9508,8.8,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,562,600562,Alameda,Absenteeism,total population,1,1,947,8824,10.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,884,600884,Alhambra,Absenteeism,total population,1,1,1301,12766,10.2,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,2000,602000,Anaheim,Absenteeism,total population,1,1,6157,47776,12.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,2252,602252,Antioch,Absenteeism,total population,1,1,3081,16543,18.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,2364,602364,Apple Valley,Absenteeism,total population,1,1,1847,12913,14.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,3526,603526,Bakersfield,Absenteeism,total population,1,1,10410,71346,14.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,3666,603666,Baldwin Park,Absenteeism,total population,1,1,2873,14033,20.5,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,4982,604982,Bellflower,Absenteeism,total population,1,1,901,6645,13.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,6000,606000,Berkeley,Absenteeism,total population,1,1,1369,9771,14,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,8786,608786,Buena Park,Absenteeism,total population,1,1,826,7932,10.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,8954,608954,Burbank,Absenteeism,total population,1,1,1447,14918,9.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,11194,611194,Carlsbad,Absenteeism,total population,1,1,1634,15992,10.2,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,11530,611530,Carson,Absenteeism,total population,1,1,937,8861,10.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,13014,613014,Chico,Absenteeism,total population,1,1,1526,13658,11.2,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,13210,613210,Chino,Absenteeism,total population,1,1,1445,12216,11.8,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,13214,613214,Chino Hills,Absenteeism,total population,1,1,952,12865,7.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,13392,613392,Chula Vista,Absenteeism,total population,1,1,3812,44716,8.5,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,13588,613588,Citrus Heights,Absenteeism,total population,1,1,758,3861,19.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,14218,614218,Clovis,Absenteeism,total population,1,1,952,14197,6.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,15044,615044,Compton,Absenteeism,total population,1,1,1652,10895,15.2,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,16000,616000,Concord,Absenteeism,total population,1,1,2087,13541,15.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,16350,616350,Corona,Absenteeism,total population,1,1,3118,27239,11.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,16532,616532,Costa Mesa,Absenteeism,total population,1,1,1996,9337,21.4,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,17918,617918,Daly City,Absenteeism,total population,1,1,1163,8314,14,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,19766,619766,Downey,Absenteeism,total population,1,1,2210,19917,11.1,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,21712,621712,El Cajon,Absenteeism,total population,1,1,1370,16146,8.5,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,22020,622020,Elk Grove,Absenteeism,total population,1,1,3931,23536,16.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,22230,622230,El Monte,Absenteeism,total population,1,1,1366,15140,9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,22804,622804,Escondido,Absenteeism,total population,1,1,2756,23963,11.5,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,23182,623182,Fairfield,Absenteeism,total population,1,1,2548,17966,14.2,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,24638,624638,Folsom,Absenteeism,total population,1,1,741,9608,7.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,24680,624680,Fontana,Absenteeism,total population,1,1,2865,25286,11.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,26000,626000,Fremont,Absenteeism,total population,1,1,2395,34939,6.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,27000,627000,Fresno,Absenteeism,total population,1,1,3943,59520,6.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,28000,628000,Fullerton,Absenteeism,total population,1,1,1057,12299,8.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,29000,629000,Garden Grove,Absenteeism,total population,1,1,3440,35607,9.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,30000,630000,Glendale,Absenteeism,total population,1,1,1930,13339,14.5,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,32548,632548,Hawthorne,Absenteeism,total population,1,1,1710,12327,13.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,33000,633000,Hayward,Absenteeism,total population,1,1,3002,20510,14.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,33182,633182,Hemet,Absenteeism,total population,1,1,2026,11742,17.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,33434,633434,Hesperia,Absenteeism,total population,1,1,0,9332,0,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,36000,636000,Huntington Beach,Absenteeism,total population,1,1,2817,27441,10.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,36448,636448,Indio,Absenteeism,total population,1,1,1470,10277,14.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,36546,636546,Inglewood,Absenteeism,total population,1,1,1566,9765,16,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,36770,636770,Irvine,Absenteeism,total population,1,1,2379,38070,6.2,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,39496,639496,Lake Forest,Absenteeism,total population,1,1,719,8240,8.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,39892,639892,Lakewood,Absenteeism,total population,1,1,1786,11966,14.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,40130,640130,Lancaster,Absenteeism,total population,1,1,6181,32987,18.7,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,41992,641992,Livermore,Absenteeism,total population,1,1,1092,11919,9.2,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,43000,643000,Long Beach,Absenteeism,total population,1,1,7273,35227,20.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,44000,644000,Los Angeles,Absenteeism,total population,1,1,36894,284891,13,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,44574,644574,Lynwood,Absenteeism,total population,1,1,1003,6317,15.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,45484,645484,Manteca,Absenteeism,total population,1,1,1245,8679,14.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,46842,646842,Menifee,Absenteeism,total population,1,1,2327,15274,15.2,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,46898,646898,Merced,Absenteeism,total population,1,1,2850,18322,15.6,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,47766,647766,Milpitas,Absenteeism,total population,1,1,689,9418,7.3,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,48256,648256,Mission Viejo,Absenteeism,total population,1,1,1753,15785,11.1,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
CA,6,48354,648354,Modesto,Absenteeism,total population,1,1,4314,28891,14.9,-999,-999,-999,-999,-999,2015-2016,city,6/11/2019,6,
